universitas,fakultas,latitude,longitude
UGM,Fakultas Biologi,-7.765146017,110.376539
UGM,Fakultas Ekonomika dan Bisnis,-7.770304272,110.378955
UGM,Fakultas Farmasi,-7.768938432,110.3762376
UGM,Fakultas Filsafat,-7.771103655,110.3809469
UGM,Fakultas Geografi,-7.765866148,110.3777128
UGM,Fakultas Hukum,-7.770307015,110.3811882
UGM,Fakultas Ilmu Budaya,-7.771210273,110.3787562
UGM,Fakultas Ilmu Sosial dan Politik,-7.769224014,110.3801678
UGM,"Fakultas Kedokteran, Kesehatan Masyarakat, dan Keperawatan",-7.769257914,110.3740219
UGM,Fakultas Kedokteran Gigi,-7.769970549,110.3733251
UGM,Fakultas Kedokteran Hewan,-7.767240579,110.3848646
UGM,Fakultas Kehutanan,-7.766856213,110.3810398
UGM,Fakultas Matematika dan Ilmu Pengetahuan Alam,-7.766823589,110.3761149
UGM,Fakultas Pertanian,-7.768687632,110.3808708
UGM,Fakultas Peternakan,-7.76757904,110.3854189
UGM,Fakultas Psikologi,-7.772170146,110.3799531
UGM,Fakultas Teknik,-7.76501943,110.3725278
UGM,Fakultas Teknologi Pertanian,-7.768540814,110.3805982
UGM,Sekolah Pascasarjana,-7.763451838,110.3756914
UGM,Sekolah Vokasi,-7.773691135,110.3725147
UNY,Fakultas Ilmu Pendidikan dan Psikologi,-7.774203283,110.3875061
UNY,Fakultas Matematika dan Ilmu Pengetahuan Alam,-7.774522949,110.3875586
UNY,"Fakultas Bahasa, Seni dan Budaya",-7.772888095,110.3834421
UNY,"Fakultas Ilmu Sosial, Hukum dan Ilmu Politik",-7.773001604,110.3873484
UNY,Fakultas Teknik,-7.768877271,110.3881023
UNY,Fakultas Ilmu Keolahragaan dan Kesehatan,-7.776414787,110.382968
UNY,Fakultas Ekonomi dan Bisnis,-7.772916413,110.3866611
UNY,Fakultas Kedokteran,-7.774898835,110.3879834
UNY,Sekolah Pascasarjana,-7.776046456,110.3883028
